2.761,4.951,5.771,4.911,4.771,40.885,167.335,442.635,925.235,1885.555,3830.515,7692.085
2.791,5.001,5.781,4.941,4.831,40.985,168.045,442.815,925.905,1886.145,3831.855,7692.275
2.791,5.011,5.841,5.091,4.961,41.115,172.285,442.965,926.505,1887.795,3832.485,7693.245
2.911,5.151,5.921,5.181,5.101,41.115,192.245,443.665,926.975,1889.885,3833.735,7695.765
2.951,5.221,6.111,5.231,5.171,41.195,195.745,443.885,927.095,1889.895,3833.905,7696.455
2.981,5.351,6.151,5.241,5.311,41.785,197.795,444.385,927.465,1892.935,3834.535,7696.585
3.051,5.401,6.281,5.311,5.341,41.895,200.125,446.035,927.495,1895.145,3836.335,7696.645
3.071,5.531,6.281,5.451,5.491,41.965,200.225,446.275,927.775,1897.675,3836.705,7696.945
3.131,5.551,6.301,5.561,5.511,42.045,202.685,449.685,928.335,1900.075,3838.915,7697.435
3.181,5.621,6.311,5.581,5.611,42.085,203.505,452.135,928.345,1900.805,3839.915,7700.385
3.201,5.631,6.321,5.611,5.711,42.115,204.465,453.745,928.505,1903.095,3841.665,7704.425
3.261,5.851,6.391,5.711,5.751,42.185,204.815,455.125,929.415,1903.125,3841.755,7705.525
3.541,5.861,6.481,5.731,5.811,42.255,204.815,459.055,929.845,1906.795,3841.845,7706.405
3.571,5.891,6.491,5.731,5.821,42.295,206.255,463.975,932.385,1909.335,3842.815,7708.155
3.631,5.891,6.491,5.781,5.831,42.325,208.755,464.815,932.515,1919.585,3844.035,7708.735
3.711,5.951,6.491,5.781,5.861,42.365,210.485,468.115,933.245,1920.145,3845.555,7712.425
3.731,5.951,6.501,5.791,5.921,42.465,210.685,468.215,934.915,1927.265,3846.145,7712.655
3.831,6.001,6.531,5.851,6.001,42.655,213.285,468.315,942.155,1927.645,3846.335,7721.745
3.871,6.001,6.621,5.921,6.041,42.775,214.445,471.725,942.885,1928.035,3847.455,7721.785
3.931,6.011,6.671,6.011,6.051,42.875,215.955,472.845,943.555,1928.655,3848.375,7722.415
4.001,6.061,6.871,6.031,6.241,42.885,218.395,474.325,948.265,1929.205,3849.985,7723.145
4.051,6.111,6.881,6.051,6.241,42.995,218.885,476.165,950.775,1930.395,3851.575,7726.615
4.101,6.121,6.921,6.051,6.421,43.035,222.805,477.175,952.475,1930.485,3851.635,7728.455
4.161,6.121,6.951,6.061,6.601,43.105,230.725,477.195,958.605,1930.565,3851.645,7731.285
4.251,6.141,7.091,6.081,6.601,43.155,238.245,477.675,961.545,1930.725,3854.225,7732.685
4.321,6.201,7.201,6.261,6.791,43.165,239.675,478.755,962.465,1933.625,3855.505,7733.765
4.371,6.331,7.241,6.261,6.801,43.425,240.135,479.455,962.545,1940.285,3863.615,7739.625
4.421,6.341,7.301,6.271,6.841,43.665,243.225,479.805,962.655,1954.585,3877.255,7739.685
