city,pop,GDP,avrgGDP,avrgGDP$,lon,lat
重庆,2884.62,7894.24,27367,4043,106.504959,29.533155
普洱,254.3,247.3,9725,1437,100.969883,22.803173
宜昌,405.97,1547.32,38114,5630,111.29084,30.702637
杭州,870.04,5945.82,68340,10095,120.15358,30.287458
滁州,393.8,695.65,17665,2610,118.316261,32.303627
铜陵,72.4,466.6,64448,9520,117.810494,30.941232
宣城,253.3,525.7,20754,3066,118.7548,30.944539
马鞍山,136.6,811.01,59371,8770,118.523807,31.701741
南京,800.47,5010.36,62593,9246,118.76741,32.041546
资阳,366.51,657.9,17951,2652,104.613759,30.144497
宜春,541.96,870.0,16053,2371,114.391136,27.8043
宁德,282.2,736.45,26097,3855,119.531234,26.644118
遵义,612.7,908.76,14832,2191,106.937263,27.706627
广元,248.41,321.87,12957,1914,105.791291,32.424562
